player_count,relative_troop_ratio_bin,troop_percent,rival_attacks,episodes
2,<0.9,10,94,12
2,<0.9,40,20,8
2,<0.9,25,117,19
2,0.9-0.99,10,74,18
2,0.9-0.99,25,89,19
2,0.9-0.99,40,10,6
2,1.0-1.19,10,1174,39
2,1.0-1.19,25,190,26
2,1.0-1.19,40,34,16
2,1.2-1.49,10,519,38
2,1.2-1.49,25,181,27
2,1.2-1.49,40,27,20
2,1.5-1.99,10,93,25
2,1.5-1.99,25,96,28
2,1.5-1.99,40,5,5
2,2.0+,25,11,9
2,2.0+,40,1,1
2,2.0+,10,21,2
4,<0.9,10,60,9
4,<0.9,25,5,4
4,0.9-0.99,10,11,7
4,0.9-0.99,25,8,5
4,1.0-1.19,10,168,30
4,1.0-1.19,25,73,24
4,1.0-1.19,40,28,15
4,1.2-1.49,10,174,33
4,1.2-1.49,25,210,34
4,1.2-1.49,40,40,20
4,1.5-1.99,10,93,31
4,1.5-1.99,25,165,34
4,1.5-1.99,40,83,26
4,2.0+,25,165,33
4,2.0+,40,105,32
4,2.0+,10,109,29
