round_number,round_wins,round_matches,rolling_wins,rolling_matches,odin_rolling_win_rate_pct,cumulative_wins,cumulative_matches,odin_cumulative_win_rate_pct,best_rival_name,best_rival_rolling_wins,best_rival_rolling_matches,best_rival_rolling_win_rate_pct,dominance_gap_pct
226,2,4,2,4,50.0,2,4,50.0,Auri,1,4,25.0,25.0
227,3,4,5,8,62.5,5,8,62.5,Auri,2,8,25.0,37.5
228,3,4,8,12,66.67,8,12,66.67,James Boggs,1,12,8.33,58.34
229,2,3,10,15,66.67,10,15,66.67,Auri,3,12,25.0,41.67
230,1,3,11,18,61.11,11,18,61.11,Auri,5,16,31.25,29.86
231,1,3,10,17,58.82,12,21,57.14,Auri,5,20,25.0,33.82
232,3,3,10,16,62.5,15,24,62.5,Auri,5,19,26.32,36.18
233,1,3,8,15,53.33,16,27,59.26,Auri,6,18,33.33,20.0
234,0,3,6,15,40.0,16,30,53.33,Auri,5,17,29.41,10.59
235,0,3,5,15,33.33,16,33,48.48,Auri,4,16,25.0,8.33
236,0,3,4,15,26.67,16,36,44.44,Auri,4,15,26.67,0.0
237,2,3,3,15,20.0,18,39,46.15,Auri,3,15,20.0,0.0
238,0,2,2,14,14.29,18,41,43.9,Richard Higgins,3,19,15.79,-1.5
239,0,2,2,13,15.38,18,43,41.86,Richard Higgins,5,20,25.0,-9.62
240,0,2,2,12,16.67,18,45,40.0,Richard Higgins,5,19,26.32,-9.65
241,1,3,3,12,25.0,19,48,39.58,RelhAlpha,2,13,15.38,9.62
242,0,3,1,12,8.33,19,51,37.25,Richard Higgins,3,15,20.0,-11.67
243,1,3,2,13,15.38,20,54,37.04,Richard Higgins,3,13,23.08,-7.7
244,1,3,3,14,21.43,21,57,36.84,daveey,2,19,10.53,10.9
245,0,4,3,16,18.75,21,61,34.43,daveey,4,18,22.22,-3.47
