player_name,policy_version,won,phase,decisions,rival_attack_rate_pct,neutral_attack_rate_pct,build_rate_pct,social_rate_pct,hold_rate_pct,mean_attack_ratio,mean_attack_percent
Auri,42,true,opening,210,0.0,65.24,4.76,0.0,0.0,,
Auri,42,true,conversion,315,18.1,62.22,10.79,4.13,0.0,1.72,27.1
Auri,42,true,finish,1852,43.47,14.36,8.91,5.51,0.49,3.53,29.5
Auri,42,false,opening,480,0.63,65.21,4.17,0.0,0.0,1.31,40.0
Auri,42,false,conversion,720,18.89,59.31,13.89,2.92,0.0,1.88,28.0
Auri,42,false,finish,5070,20.12,20.97,17.18,12.37,1.79,2.54,28.9
Calc,1,true,opening,10,0.0,40.0,20.0,10.0,0.0,,
Calc,1,true,conversion,15,0.0,66.67,0.0,0.0,33.33,,
Calc,1,true,finish,89,37.08,19.1,5.62,8.99,1.12,3.77,18.2
Calc,1,false,opening,60,0.0,41.67,20.0,8.33,0.0,,
Calc,1,false,conversion,90,0.0,57.78,2.22,8.89,23.33,,
Calc,1,false,finish,901,13.32,13.1,5.55,21.75,12.32,4.12,17.6
Calc,14,false,opening,250,0.0,40.0,20.0,10.0,0.0,,
Calc,14,false,conversion,375,0.0,51.2,5.33,21.33,7.47,,
Calc,14,false,finish,2330,10.52,19.57,6.39,25.36,16.01,4.12,17.5
Calc,16,false,opening,10,0.0,40.0,20.0,10.0,0.0,,
Calc,16,false,conversion,15,0.0,20.0,6.67,73.33,0.0,,
Calc,20,false,opening,40,0.0,40.0,20.0,10.0,0.0,,
Calc,20,false,conversion,60,0.0,95.0,5.0,0.0,0.0,,
Calc,20,false,finish,289,9.69,23.88,10.03,24.22,12.11,1.71,18.0
Calc,21,true,opening,10,0.0,40.0,20.0,10.0,0.0,,
Calc,21,true,conversion,15,0.0,66.67,20.0,6.67,6.67,,
Calc,21,true,finish,61,36.07,13.11,3.28,0.0,0.0,4.25,22.3
Calc,21,false,opening,30,0.0,40.0,20.0,10.0,0.0,,
Calc,21,false,conversion,45,0.0,60.0,6.67,22.22,2.22,,
Calc,21,false,finish,171,8.77,22.81,11.11,39.18,1.17,1.98,20.0
James Boggs,1,false,opening,470,4.26,38.72,20.0,3.4,0.0,1.64,10.8
James Boggs,1,false,conversion,688,53.92,13.23,13.81,7.99,0.0,1.01,10.2
James Boggs,1,false,finish,2018,12.98,2.58,8.03,56.79,0.05,1.08,10.4
RelhAlpha,1,true,opening,10,0.0,70.0,0.0,0.0,0.0,,
RelhAlpha,1,true,conversion,15,13.33,86.67,0.0,0.0,0.0,0.78,10.0
RelhAlpha,1,true,finish,122,59.84,23.77,16.39,0.0,0.0,2.11,23.2
RelhAlpha,1,false,opening,210,3.33,66.19,0.48,0.0,0.0,0.59,10.0
RelhAlpha,1,false,conversion,315,14.92,42.86,20.0,0.0,21.9,0.81,24.7
RelhAlpha,1,false,finish,693,55.7,10.39,22.66,0.0,8.51,0.71,21.7
Richard Higgins,1,true,opening,20,0.0,70.0,0.0,0.0,0.0,,
Richard Higgins,1,true,conversion,30,0.0,53.33,46.67,0.0,0.0,,
Richard Higgins,1,true,finish,184,46.74,35.87,11.96,0.0,0.0,1.67,22.2
Richard Higgins,1,false,opening,80,0.0,67.5,2.5,0.0,0.0,,
Richard Higgins,1,false,conversion,120,6.67,57.5,17.5,0.0,17.5,0.96,19.4
Richard Higgins,1,false,finish,740,35.95,8.24,15.14,0.0,19.05,1.6,20.5
