player_name,matches,wins,win_rate_pct,mean_final_tiles,median_final_tiles,decisions,rival_attacks,neutral_attacks,neutral_boats,naval_invasions,builds,social_actions,holds
daveey,79,21,26.58,144090.9,0.0,10352,3104,1595,1171,1402,888,390,941
odin free,73,16,21.92,154164.7,10014.0,12460,1991,1751,1716,801,916,415,84
Auri,79,12,15.19,120583.5,407.0,10873,1832,2734,835,1554,1664,1103,213
Richard Higgins,53,10,18.87,116910.9,0.0,6802,2787,1289,385,742,327,215,431
K1Z katanasan,48,4,8.33,87079.4,1008.5,7889,404,1678,540,702,859,1368,93
RelhAlpha,49,4,8.16,63706.3,0.0,6278,2390,1199,383,672,283,171,443
K1Z juryoku-koku,27,0,0.0,32031.9,0.0,4505,71,528,294,308,327,1689,14
Sefirot,79,0,0.0,21645.8,0.0,8957,1759,1732,160,460,909,170,3317
Ron @ SWGY,68,0,0.0,12946.4,0.0,8838,1209,543,1845,1340,1096,2057,23
Calc,40,0,0.0,8510.9,0.0,3494,136,636,128,203,573,1206,264
James Boggs,66,0,0.0,4940.1,0.0,6430,1296,443,659,530,575,2637,7
docxology,79,0,0.0,2643.3,0.0,3543,1341,1174,167,179,192,31,0
