rank,player_name,score,rounds_played,episode_wins,episodes_played,win_rate,collected_at
1,odin free,30.462115151130536,244,,,,2026-07-17 01:33:02.6
2,daveey,30.329884179308653,187,,,,2026-07-17 01:33:02.6
3,Auri,18.32739264623576,299,,,,2026-07-17 01:33:02.6
4,RelhAlpha,10.250759840041681,197,,,,2026-07-17 01:33:02.6
5,Richard Higgins,8.739757093998652,300,,,,2026-07-17 01:33:02.6
6,katanasan,8.579550345046275,137,,,,2026-07-17 01:33:02.6
7,docxology,3.228416292845048,52,,,,2026-07-17 01:33:02.6
8,Sefirot,2.33898473593434,95,,,,2026-07-17 01:33:02.6
9,James Boggs,2.241723539641467,300,,,,2026-07-17 01:33:02.6
10,Calc,0.0,15,,,,2026-07-17 01:33:02.6
11,Ron @ SWGY,0.0,14,,,,2026-07-17 01:33:02.6
