map,player_name,policy_version,matches,declared_wins,episode_points,point_rate_pct,mean_final_tiles,rival_attacks_per_100_decisions,neutral_attacks_per_100_decisions,neutral_boats_per_100_decisions,holds
Asia,Auri,42,27,7,7,25.93,253868.3,27.29,38.96,7.6,26
Asia,Calc,27,6,0,0,0.0,13425.8,7.85,31.82,1.24,44
Asia,James Boggs,1,26,0,0,0.0,1046.5,40.17,21.83,4.7,0
Asia,RelhAlpha,1,19,3,3,15.79,144504.2,36.63,37.46,0.0,6
Asia,Richard Higgins,6,2,0,0,0.0,147201.5,27.92,59.74,0.0,0
Asia,Richard Higgins,7,11,1,1,9.09,139295.6,42.98,44.62,0.0,0
Asia,Ron @ SWGY,1,18,0,0,0.0,13732.9,19.81,14.58,17.38,0
Asia,Sefirot,23,7,0,0,0.0,1684.1,26.52,28.47,8.27,1
Asia,Sefirot,24,20,2,2,10.0,98407.2,38.76,28.58,0.0,164
Asia,daveey,20,3,0,0,0.0,32265.3,18.51,25.45,14.91,97
Asia,daveey,22,16,2,2,12.5,135388.3,40.67,28.36,8.74,94
Asia,docxology,1,27,0,0,0.0,0.0,62.03,23.33,0.0,0
Asia,katanasan,34,11,2,3,27.27,304480.5,19.58,43.14,1.14,0
Asia,odin free,77,23,9,9,39.13,373009.9,30.74,26.98,16.96,2
Pangaea,Auri,42,24,5,5,20.83,90254.0,17.79,31.36,8.68,58
Pangaea,Calc,27,6,0,0,0.0,515.8,1.89,15.63,1.48,41
Pangaea,James Boggs,1,24,1,1,4.17,33323.5,14.91,8.49,17.12,6
Pangaea,RelhAlpha,1,19,0,1,5.26,38519.6,14.3,39.67,0.0,121
Pangaea,Richard Higgins,7,13,2,3,23.08,81573.6,34.23,28.78,6.1,81
Pangaea,Ron @ SWGY,1,14,0,0,0.0,12520.5,20.05,8.1,27.53,4
Pangaea,Sefirot,23,4,1,1,25.0,84900.0,26.74,25.07,11.14,2
Pangaea,Sefirot,24,20,0,1,5.0,15045.3,26.04,43.0,0.0,117
Pangaea,daveey,20,2,2,2,100.0,359014.0,60.74,11.66,11.04,2
Pangaea,daveey,22,14,8,8,57.14,203186.5,35.26,20.45,8.61,69
Pangaea,docxology,1,24,0,0,0.0,4291.8,56.62,29.98,0.76,0
Pangaea,katanasan,34,8,0,0,0.0,6362.8,1.58,30.7,11.15,22
Pangaea,odin free,77,20,2,2,10.0,37262.0,22.37,20.42,12.3,97
World,Auri,42,28,5,6,21.43,131639.5,11.83,27.3,10.79,40
World,Calc,27,7,0,0,0.0,0.0,0.0,22.88,0.0,12
World,James Boggs,1,27,0,0,0.0,1689.0,15.75,5.36,13.87,3
World,RelhAlpha,1,20,0,0,0.0,25954.8,2.52,26.83,0.0,157
World,Richard Higgins,6,2,0,0,0.0,71002.0,30.0,13.78,12.43,53
World,Richard Higgins,7,12,2,3,25.0,155591.5,29.36,12.25,11.54,359
World,Ron @ SWGY,1,18,1,1,5.56,71981.2,12.1,6.6,25.22,10
World,Sefirot,23,8,0,0,0.0,570.0,6.84,27.87,14.4,25
World,Sefirot,24,20,0,0,0.0,8026.9,6.96,17.37,0.0,1706
World,daveey,20,3,0,0,0.0,33397.0,10.13,13.46,15.28,142
World,daveey,22,16,8,8,50.0,277536.5,20.72,14.66,16.08,315
World,docxology,1,28,0,0,0.0,5319.0,26.41,45.51,4.01,0
World,katanasan,34,11,0,0,0.0,5945.9,2.98,33.24,9.66,4
World,odin free,77,24,10,10,41.67,236952.6,18.77,16.25,18.79,35
