player_count,player_name,policy_name,policy_version,policy_version_id,matches,wins,win_rate_pct,mean_final_tiles,median_final_tiles,decisions,rival_attacks,neutral_attacks,neutral_boats,naval_invasions,builds,social_actions,holds,fallback_rate_pct
4,daveey,daveey-proxywar,8,17a4c6cc-8e7c-43e1-85bd-8f9e252805e0,25,10,40.0,136609.4,43261.0,3110,607,599,524,207,189,59,549,0.55
4,Auri,proxywar-keystone,13,9430fd40-7467-49b0-a2fd-e68e71baa412,20,6,30.0,59985.3,15296.0,2202,215,885,89,478,267,152,48,2.04
4,odin free,qd1n,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,60,17,28.33,93203.0,38894.0,7765,1328,2284,1648,860,770,40,5,67.48
4,RelhAlpha,co-gas-proxywar-relhalpha,1,cc3a6e1f-7c8c-44f1-8af8-18e1e51a8d40,39,10,25.64,65916.2,0.0,3463,408,1137,0,0,271,0,580,0.0
4,daveey,daveey-proxywar,7,c745774f-20e7-4cfd-a9fa-7d0722e7f00c,32,7,21.88,107357.5,40567.0,3993,584,811,859,447,293,63,668,0.43
4,Richard Higgins,co-gas-proxywar-richard,1,345fb515-8470-4745-a470-cd8835c372ed,39,6,15.38,71540.3,0.0,3242,592,1366,0,0,275,0,344,0.0
4,Auri,proxywar-keystone,14,eb22ccaf-b027-49b1-81dc-d74117660bb3,14,2,14.29,48175.6,19416.5,1560,211,643,79,155,158,115,48,4.1
4,James Boggs,jamesboggs-warlord,1,dffb6fb2-673e-4be5-9e35-ba69d6731754,77,2,2.6,45668.6,537.0,9075,930,1264,1987,862,990,2469,10,16.78
4,Auri,proxywar-keystone,12,8074ddb2-71e1-4608-8766-5796fcb7002a,3,0,0.0,74063.7,153.0,474,21,347,1,0,44,12,0,0.21
4,Auri,proxywar-keystone,16,3ec3e986-08be-406a-b853-592bf50b7607,3,0,0.0,32393.3,16925.0,636,70,190,8,168,112,26,5,3.3
