round_number,rank,score,policy_version,policy_version_id,matches,wins,win_rate_pct,mean_final_tiles,decisions,rival_attacks,neutral_attacks,neutral_boats,builds,social_actions,holds,fallbacks
298,1,0.6666666666666666,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,1,33.33,53167.0,429,167,44,34,23,2,0,361
299,5,0.0,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,0,0.0,25509.0,150,56,70,2,13,0,0,120
300,3,0.3333333333333333,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,1,33.33,189106.0,485,72,150,159,37,2,0,290
301,1,0.6666666666666666,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,2,66.67,58655.7,156,51,48,33,13,0,0,96
302,5,0.0,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,0,0.0,36912.0,182,106,46,7,14,0,0,147
303,5,0.0,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,0,0.0,123129.3,823,74,272,219,93,0,0,625
304,1,0.6666666666666666,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,2,66.67,59798.0,212,51,54,62,17,0,0,97
305,5,0.0,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,0,0.0,35341.0,158,63,59,13,12,0,0,120
306,6,0.0,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,0,0.0,42042.0,635,46,170,145,92,4,0,434
307,1,0.6666666666666666,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,2,66.67,59985.0,191,62,42,38,15,3,0,131
308,2,0.6666666666666666,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,2,66.67,168223.3,233,145,44,12,18,0,0,195
309,2,0.3333333333333333,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,1,33.33,194119.7,538,78,137,129,35,5,0,405
310,1,0.6666666666666666,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,1,33.33,53349.3,407,155,50,45,21,1,0,336
311,5,0.0,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,0,0.0,36161.0,208,102,51,18,16,0,0,172
312,3,0.3333333333333333,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,1,33.33,181488.3,668,75,216,193,78,5,1,411
313,1,0.6666666666666666,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,2,66.67,60870.3,139,54,44,19,11,0,0,98
314,5,0.0,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,0,0.0,23569.0,191,97,52,12,17,0,0,140
315,2,0.3333333333333333,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,1,33.33,161122.7,503,69,126,129,32,0,0,344
316,3,0.3333333333333333,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,0,0.0,23944.7,387,142,66,30,22,0,0,331
317,5,0.0,2,a257d3f5-f374-4a2a-a3f3-af41485cbfbf,3,0,0.0,33822.7,154,72,47,13,13,0,0,119
