round_number,player_count,player_name,policy_version,matches,wins,win_rate_pct,mean_final_tiles,rival_attacks,neutral_boats,builds,social_actions
482,8,daveey,22,4,2,50.0,259260.3,132,135,62,37
482,8,Auri,42,4,1,25.0,164140.5,62,71,114,73
482,8,odin free,77,4,1,25.0,146246.5,131,153,72,14
482,8,RelhAlpha,3,1,0,0.0,53261.0,46,29,12,7
482,8,Richard Higgins,7,2,0,0.0,48020.5,103,49,21,14
482,8,Sefirot,24,4,0,0.0,33994.8,36,0,55,0
482,8,Ron @ SWGY,1,3,0,0.0,4660.7,59,138,63,156
482,8,docxology,1,4,0,0.0,318.3,68,22,36,0
482,8,K1Z katanasan,34,2,0,0.0,163.5,6,43,56,1
482,8,James Boggs,1,3,0,0.0,10.0,38,63,28,264
482,8,Calc,27,1,0,0.0,0.0,0,0,4,8
483,8,K1Z katanasan,34,2,1,50.0,804335.0,46,0,32,2
483,8,Richard Higgins,7,2,1,50.0,447713.5,44,7,8,4
483,8,odin free,77,4,1,25.0,308290.8,150,118,48,1
483,8,RelhAlpha,3,1,0,0.0,106572.0,23,0,4,2
483,8,daveey,22,4,0,0.0,35564.0,79,28,19,6
483,8,Auri,42,4,0,0.0,34559.0,96,13,70,11
483,8,Ron @ SWGY,1,3,0,0.0,11302.7,17,46,19,24
483,8,Calc,27,1,0,0.0,5636.0,12,17,17,7
483,8,James Boggs,1,3,0,0.0,0.0,39,0,14,7
483,8,Sefirot,24,4,0,0.0,0.0,56,0,23,0
483,8,docxology,1,4,0,0.0,0.0,71,0,0,0
484,8,daveey,22,4,3,75.0,274637.3,142,40,16,5
484,8,odin free,77,4,1,25.0,91939.0,99,33,24,5
484,8,Ron @ SWGY,1,3,0,0.0,21990.3,44,78,39,44
484,8,Auri,42,4,0,0.0,11210.5,59,37,48,25
484,8,docxology,1,4,0,0.0,10877.0,82,0,0,0
484,8,James Boggs,1,3,0,0.0,4424.3,38,49,30,64
484,8,K1Z katanasan,34,2,0,0.0,1655.5,10,31,22,1
484,8,Calc,27,1,0,0.0,0.0,0,0,3,13
484,8,RelhAlpha,3,1,0,0.0,0.0,21,0,1,1
484,8,Richard Higgins,7,2,0,0.0,0.0,24,0,4,4
484,8,Sefirot,24,4,0,0.0,0.0,56,0,20,0
