player_count,participant_position,player_matches,wins,win_rate_pct,mean_final_tiles
8,0,30,5,16.67,107980.2
8,1,30,2,6.67,83683.3
8,2,30,5,16.67,125283.6
8,3,30,4,13.33,81859.5
8,4,30,4,13.33,112515.1
8,5,30,3,10.0,74293.2
8,6,30,0,0.0,27336.0
8,7,30,3,10.0,120978.9
12,0,42,3,7.14,40666.9
12,1,42,3,7.14,41574.0
12,2,42,4,9.52,49985.1
12,3,42,3,7.14,38042.7
12,4,42,2,4.76,22221.8
12,5,42,0,0.0,10520.7
12,6,42,1,2.38,32696.9
12,7,42,4,9.52,68688.1
12,8,42,0,0.0,14042.9
12,9,42,6,14.29,96352.7
12,10,42,6,14.29,67647.7
12,11,42,2,4.76,32344.8
